time,m1,m2,m3,m4
1385512276.680596,42876,35139,46324,35661
1385512276.699191,43215,35742,46349,34694
1385512276.714554,43979,35251,46023,34747
1385512276.740325,43747,34080,45747,36426
1385512276.751171,44020,33767,45462,36751
1385512276.769862,44151,34668,45405,35776
1385512276.781662,43289,34919,46741,35051
1385512276.79978,43585,33688,46437,36290
1385512276.810562,44981,33348,44793,36878
1385512276.829737,45036,34378,44982,35604
1385512276.858759,43822,34601,46402,35175
1385512276.873522,53666,25481,54966,25887
1385512276.891638,51985,27124,52909,27982
1385512276.907246,50352,29106,52966,27576
1385512276.925803,50192,29115,51752,28941
1385512276.936706,49306,30119,51988,28587
1385512276.956233,49770,30094,50338,29798
1385512276.967962,49283,30325,50067,30325
1385512276.987189,48466,31183,50130,30221
1385512276.998836,48990,30188,49304,31518
1385512277.017482,47562,31097,49910,31431
1385512277.029122,47697,30965,49717,31621
1385512277.047684,47605,30216,49337,32842
1385512277.05935,46624,31225,49976,32175
1385512277.078608,47250,30179,49038,33533
1385512277.089448,46279,31093,49791,32837
1385512277.107742,47271,30653,48731,33345
1385512277.119611,46305,31434,49225,33036
1385512277.138139,47192,31439,48318,33051
1385512277.149378,46718,31775,48466,33041
1385512277.157588,46083,32834,49005,32078
1385512277.168439,47384,32130,47716,32770
1385512277.180267,46799,32366,47903,32932
1385512277.199596,47481,32555,47159,32805
1385512277.210676,46426,32836,47924,32814
1385512277.229759,46751,32725,47157,33367
1385512277.240474,45689,33508,47961,32842
1385512277.260129,45289,33087,47949,33675
1385512277.271096,45418,33564,47740,33278
1385512277.289622,44929,33158,48255,33658
1385512277.301587,46068,32949,46614,34369
1385512277.317422,45710,32878,47164,34248
1385512277.329228,46012,32777,46758,34453
1385512277.347502,46609,32875,46093,34423
1385512277.358315,45122,33325,47722,33831
1385512277.377294,45584,33055,47278,34083
1385512277.388059,45162,33149,47800,33889
1385512277.407376,44394,33076,48328,34202
1385512277.418265,46477,32704,46035,34784
1385512277.438001,45663,33140,46379,34818
1385512277.44913,45065,33517,46397,35021
1385512277.45682,44510,33753,47222,34515
1385512277.4676,45981,32987,45439,35593
1385512277.478398,44021,33706,47515,34758
1385512277.485949,46484,32412,45302,35802
1385512277.496729,44336,33414,47264,34986
1385512277.508513,46431,32733,45649,35187
1385512277.52682,45435,33939,46553,34073
1385512277.541906,45138,34112,46632,34118
1385512277.556771,45620,33907,46374,34099
1385512277.568023,44312,34698,47604,33386
1385512277.586625,44597,33902,47155,34346
1385512277.599033,46277,32752,45579,35392
1385512277.61766,46381,32426,45039,36154
1385512277.629627,45554,32313,45644,36489
1385512277.647871,45424,32182,45740,36654
1385512277.658703,46435,32107,44875,36583
1385512277.677818,46394,31730,45380,36496
1385512277.690243,45012,32218,46698,36072
1385512277.709361,44608,32987,46904,35501
1385512277.720149,44864,32978,47110,35048
1385512277.740555,44377,33359,47567,34697
1385512277.751346,45435,32995,46223,35347
1385512277.754633,43933,34255,47953,33859
1385512277.782326,43539,34884,47993,33584
1385512277.797445,43556,34664,47780,34000
1385512277.812493,45986,33089,45772,35153
1385512277.827086,45769,33296,45495,35440
1385512277.84377,43976,34347,46472,35205
1385512277.852984,44933,33506,45853,35708
