time,m1,m2,m3,m4
1385094850.301924,40867,32196,46641,32296
1385094850.313527,42454,32182,45064,32300
1385094850.32876,41034,31525,46170,33271
1385094850.344377,42057,31226,44701,34016
1385094850.358427,51269,21933,53675,25123
1385094850.377751,51057,22665,51575,26703
1385094850.397039,50457,23781,50457,27305
1385094850.408761,51582,23497,48504,28417
1385094850.427207,49151,25261,48983,28605
1385094850.438915,47716,25719,49444,29121
1385094850.4571,48250,26220,47288,30242
1385094850.469434,47537,27101,47621,29741
1385094850.476924,45681,28389,48949,28981
1385094850.488289,44687,29227,49739,28347
1385094850.499268,45324,29403,49098,28175
1385094850.518336,46995,30175,47123,27707
1385094850.52992,45494,31407,47726,27373
1385094850.548372,46354,31086,46438,28122
1385094850.560929,47152,30855,45040,28953
1385094850.57602,44729,31178,46909,29184
1385094850.595487,46563,30100,44935,30402
1385094850.606069,44733,30276,46347,30644
1385094850.625514,45655,29317,45533,31495
1385094850.636544,45123,29387,45643,31847
1385094850.655087,44812,28958,46252,31978
1385094850.666672,45701,28829,45129,32341
1385094850.685551,44684,28862,46048,32406
1385094850.696318,46176,28882,44510,32432
1385094850.715068,44578,29639,45890,31893
1385094850.726014,46103,30246,44099,31552
1385094850.741778,44617,30836,45397,31150
1385094850.75792,45873,31280,44219,30628
1385094850.776143,44573,31796,45503,30128
1385094850.787894,45771,31735,44263,30231
1385094850.806388,45362,31533,45068,30037
1385094850.817198,45401,31925,44179,30495
1385094850.835826,44976,31627,44300,31097
1385094850.846656,43706,32329,44916,31049
1385094850.865935,44430,30801,44184,32585
1385094850.877742,42635,31823,45659,31883
1385094850.896917,44228,30085,44590,33097
1385094850.90861,42952,30657,45804,32587
1385094850.927018,43419,30538,45537,32506
1385094850.938477,43726,30676,45396,32202
1385094850.968455,44175,30458,44589,32778
1385094850.988769,43229,30788,45265,32718
1385094850.999872,44782,29770,43716,33732
1385094851.029667,43516,31396,44210,32878
1385094851.049071,44536,30654,43440,33370
1385094851.060646,43341,31584,44669,32406
1385094851.079267,43992,31796,44364,31848
1385094851.090148,44387,31930,44141,31542
1385094851.108886,43862,32354,44614,31170
1385094851.119533,44574,31441,43994,31991
1385094851.137191,44259,31490,44157,32094
1385094851.167372,42685,31161,44731,33423
1385094851.179451,42898,30939,44754,33409
1385094851.196333,43333,30139,44677,33851
1385094851.20764,44037,30601,43535,33827
1385094851.226951,44213,31158,43695,32934
1385094851.238661,43909,31332,44063,32696
1385094851.25756,44681,31245,43737,32337
1385094851.2685,43679,31406,44903,32012
1385094851.28763,42681,32216,45217,31886
1385094851.298575,43593,31861,44043,32503
1385094851.317553,42739,31336,44919,33006
1385094851.333154,43544,31805,43692,32959
1385094851.348312,44156,31596,43468,32780
1385094851.363558,42494,32237,44722,32547
1385094851.378838,44059,31709,43809,32423
1385094851.389567,44136,31019,44394,32451
1385094851.408979,43289,31984,44713,32014
1385094851.419803,44680,31133,43496,32691
1385094851.439202,44094,30153,43864,33889
1385094851.468687,43317,30150,44263,34270
1385094851.483705,41927,31302,45603,33168
1385094851.516639,43479,31179,44645,32697
1385094851.528767,43973,31421,44613,31993
1385094851.547829,43320,32013,45180,31487
1385094851.559895,45051,30771,43345,32833
1385094851.578606,44887,30908,43469,32736
1385094851.590237,43243,32406,44545,31806
1385094851.60948,43287,31586,44269,32858
1385094851.62044,43198,31282,44572,32948
1385094851.639726,42892,31525,44816,32767
1385094851.650574,44263,30600,43895,33242
1385094851.670149,44490,30725,43910,32875
1385094851.68108,43437,30858,44893,32812
1385094851.695945,44174,29898,44662,33266
1385094851.711046,44368,30949,44476,32207
1385094851.729381,43558,31346,44774,32322
1385094851.740114,44331,30519,44035,33115
1385094851.759172,44616,30672,43756,32956
1385094851.770165,43463,30900,44507,33130
1385094851.788451,43078,31352,44602,32968
1385094851.800178,44081,31178,43809,32932
1385094851.818798,43968,30670,43976,33386
1385094851.832187,43241,31330,44631,32798
1385094851.852287,43017,31141,45637,32205
1385094851.863246,25784,49400,26122,50694
1385094851.881515,27976,46957,28286,48781
1385094851.892245,28535,45059,30459,47947
1385094851.910737,32145,42691,30203,46961
1385094851.921659,31371,42969,32691,44969
1385094851.940727,34135,41470,32553,43842
1385094851.951736,35930,40357,32570,43143
1385094851.969871,34015,41416,35215,41354
1385094851.980672,35834,39313,34544,42309
1385094851.998976,37730,38084,35688,40498
1385094852.018182,36296,38781,37066,39857
1385094852.047241,39168,36868,37418,38546
1385094852.062253,38923,36932,38575,37570
1385094852.080686,37083,37010,40023,37884
1385094852.092342,39875,36687,38513,36925
1385094852.110829,37513,36239,41163,37085
1385094852.121701,38469,36449,40073,37009
1385094852.139718,38922,35235,41052,36791
1385094852.154705,39072,35504,40810,36614
1385094852.169917,40377,34248,40471,36904
1385094852.184962,40045,34835,40757,36363
1385094852.20369,41266,34264,39842,36628
1385094852.214662,40494,34261,40638,36607
1385094852.218182,41743,34875,40053,35329
1385094852.233222,41834,34407,40262,35497
1385094852.244366,40457,34420,41171,35952
1385094852.263926,41540,34087,41136,35237
1385094852.271435,40732,35428,41514,34326
1385094852.29025,39651,34616,42689,35044
1385094852.29777,41788,33955,41038,35219
1385094852.309782,41276,35105,42338,33281
1385094852.33939,39847,34525,43181,34447
1385094852.351167,42146,33947,41310,34597
1385094852.358548,40588,35059,43002,33351
1385094852.37028,41414,33518,42048,35020
1385094852.381124,41541,33238,41971,35250
1385094852.399731,42540,33471,41376,34613
1385094852.410478,41223,33698,42591,34488
1385094852.417914,42766,32569,41396,35269
1385094852.429846,41052,33096,42474,35378
1385094852.459665,41776,32903,42718,34603
1385094852.471478,42412,33700,42248,33640
1385094852.478972,40981,33962,42967,34090
1385094852.489758,41938,33825,41920,34317
1385094852.508202,42441,33757,41891,33911
1385094852.519903,41457,34592,42959,32992
1385094852.539787,41711,33988,42851,33450
1385094852.550752,41915,33497,42041,34547
1385094852.561622,42175,33072,42347,34406
1385094852.58013,42605,33601,42377,33417
1385094852.599355,42416,32682,42512,34390
1385094852.610322,40572,32874,43816,34738
1385094852.640473,42021,33044,42765,34170
1385094852.659499,41630,32925,43226,34219
1385094852.670256,40191,32920,44693,34196
1385094852.681001,41183,33194,43207,34416
1385094852.700836,41654,32542,43230,34574
1385094852.719505,42083,33241,43021,33655
1385094852.741584,41719,33073,42979,34229
1385094852.760929,42037,32072,42665,35226
1385094852.79013,42311,33233,42945,33511
1385094852.821717,41337,32419,43609,34635
1385094852.84117,40823,32884,43489,34804
1385094852.849933,42123,32799,43161,33917
1385094852.861638,41704,32248,43748,34300
1385094852.87008,42440,33174,43170,33216
1385094852.880945,41539,33208,43925,33328
1385094852.891795,41738,33716,43402,33144
1385094852.91001,41767,32589,43267,34377
1385094852.920786,41244,32406,43534,34816
1385094852.940519,41590,32820,43436,34154
1385094852.958916,41690,32800,43756,33754
1385094852.96982,43022,31830,42886,34262
1385094852.989286,42641,31886,42665,34808
1385094853.000133,40440,32855,43954,34751
1385094853.019389,40901,32105,43985,35009
1385094853.030273,43613,31173,42179,35035
1385094853.048429,43652,31767,42486,34095
1385094853.060014,41199,32782,44399,33620
1385094853.078499,41098,32552,44430,33920
1385094853.093341,42897,32351,42243,34509
1385094853.112756,42885,32003,42093,35019
1385094853.123625,41973,31953,43583,34491
1385094853.142263,42291,32452,43731,33526
1385094853.153247,42809,33235,42365,33591
1385094853.172416,42330,32779,43372,33519
1385094853.184968,42032,32139,43966,33863
1385094853.199385,41695,32424,43713,34168
1385094853.214723,40910,32776,43918,34396
1385094853.229672,41344,32402,43992,34262
1385094853.254259,41184,33094,44544,33178
1385094853.265135,42330,32596,43618,33456
1385094853.284847,42095,32007,43627,34271
