time,m1,m2,m3,m4
1385512254.82143,44498,36515,45854,33133
1385512254.82482,41762,36961,48092,33185
1385512254.835788,42822,35318,47608,34252
1385512254.847508,40350,35809,49764,34077
1385512254.855834,41370,34578,48886,35166
1385512254.867635,40433,34969,49707,34891
1385512254.87856,40474,34500,48980,36046
1385512254.897741,41723,32911,47833,37533
1385512254.908591,41658,32229,47842,38271
1385512254.92873,43217,31668,46011,39104
1385512254.956546,46537,31332,42929,39202
1385512254.971724,46731,31477,42509,39283
1385512254.986626,47097,31723,42613,38567
1385512255.008421,47684,33006,42344,36966
1385512255.025824,46815,34558,43097,35530
1385512255.036719,45050,35035,44956,34959
1385512255.044244,46234,35726,43814,34226
1385512255.055254,44040,36833,46146,32981
1385512255.070314,45050,37477,45186,32287
1385512255.084644,44912,38490,45120,31478
1385512255.099665,44015,39012,46157,30816
1385512255.113678,45070,38222,45168,31540
1385512255.129395,45348,37610,44824,32218
1385512255.144327,45389,37347,45173,32091
1385512255.159883,46188,36544,44244,33024
1385512255.189952,45188,33801,46034,34977
1385512255.204031,44126,32683,46804,36387
1385512255.219803,42866,32720,48216,36198
1385512255.233883,43089,33154,48473,35284
1385512255.249747,44519,32897,46971,35613
1385512255.261233,42762,34667,48804,33767
1385512255.26461,44752,34641,46696,33911
1385512255.279551,43147,36110,47907,32836
1385512255.298196,44081,36770,46573,32576
1385512255.308992,46809,36572,44161,32458
1385512255.327409,48217,36869,43621,31293
1385512255.338475,46644,37747,45098,30511
1385512255.358218,44827,37460,46613,31100
1385512255.369748,46304,36126,45734,31836
1385512255.384076,46097,35834,46835,31234
1385512255.399145,44648,36726,47656,30970
1385512255.418395,43282,35939,48792,31987
1385512255.429215,41760,36261,50776,31203
1385512255.459847,42460,37926,50990,28624
1385512255.474805,41846,38363,51458,28333
